modelId, modelName, jpeg_bits, jpeg_wide, jpeg_high, jpeg_comp, slices[0], slices[1], slices[2], jpeg_hsf, jpeg_vsf, sensorLeftBorder, sensorTopBorder, sensorBottomBorder, sensorRightBorder,blackMaskLeftBorder,blackMasktopBorder,blackMaskBottomBorder,blackMaskRightBorder, imageWidth, imageHeight, vShift
0x80000174, Canon EOS-1D Mark II, 12, 1798, 2360, 2, 0, 0, 3596, 1, 1, 84, 19, 3587, 2354, 14, 162, 55, 2209, 3504, 2336, 1
0x80000188, Canon EOS-1Ds Mark II, 12, 2554, 3349, 2, 2, 1680, 1748, 1, 1, 108, 19, 5099, 3346, 0, 0, 0, 0, 4992, 3328, 0
0x80000175, Canon EOS 20D, 12, 1798, 2360, 2, 0, 0, 3596, 1, 1, 84, 19, 3587, 2354, 0, 0, 0, 0, 3504, 2336, 1
0x80000188, Canon EOS-1Ds Mark II, 12, 2554, 3349, 2, 2, 1680, 1748, 1, 1, 108, 19, 5099, 3346, 0, 0, 0, 0, 4992, 3328, 0
0x80000189, Canon EOS 350D DIGITAL, 12, 1758, 2328, 2, 1, 1758, 1758, 1, 1, 52, 19, 3507, 2322, 0, 0, 0, 0, 3456, 2304, 1
0x80000213, Canon EOS 5D, 12, 2238, 2954, 2, 1, 2238, 2238, 1, 1, 100, 39, 4467, 2950, 0, 0, 0, 0, 4368, 2912, 1
0x80000232, Canon EOS-1D Mark II N, 12, 1798, 2360, 2, 1, 1798, 1798, 1, 1, 84, 19, 3587, 2354, 14, 162, 55, 2209, 3504, 2336, 1
0x80000234, Canon EOS 30D, 12, 1798, 2360, 2, 1, 1798, 1798, 1, 1, 84, 19, 3587, 2354, 0, 0, 0, 0, 3504, 2336, 1
0x80000236, Canon EOS 400D DIGITAL, 12, 1974, 2622, 2, 1, 1974, 1974, 1, 1, 52, 23, 3939, 2614, 0, 0, 0, 0, 3888, 2592, 1
0x80000169, Canon EOS-1D Mark III, 14, 1992, 2622, 2, 1, 1992, 1992, 1, 1, 88, 25, 3975, 2616, 0, 0, 0, 0, 3888, 2592, 1
0x80000190, Canon EOS 40D, 14, 1972, 2622, 2, 1, 1952, 1992, 1, 1, 40, 23, 3927, 2614, 0, 0, 0, 0, 3888, 2592, 1
0x80000215, Canon EOS-1Ds Mark III, 14, 2856, 3774, 2, 2, 1920, 1872, 1, 1, 72, 25, 5687, 3768, 0, 0, 0, 0, 5616, 3744, 1
0x02230000, Canon PowerShot G9, 12, 2052, 3048, 2, 1, 2056, 2048, 1, 1, 64, 24, 4063, 3023, 38, 24, 41, 3023, 4000, 3000, 0
0x80000176, Canon EOS 450D, 14, 2156, 2876, 2, 2, 1440, 1432, 1, 1, 32, 23, 4303, 2870, 0, 0, 0, 0, 4272, 2848, 1
0x80000254, Canon EOS 1000D, 12, 1974, 2622, 2, 1, 1964, 1984, 1, 1, 52, 23, 3939, 2614, 0, 0, 0, 0, 3888, 2592, 1
0x80000261, Canon EOS 50D, 14, 1208, 3228, 4, 2, 1616, 1600, 1, 1, 72, 56, 4823, 3223, 0, 0, 0, 0, 4752, 3168, 1
0x02490000, Canon PowerShot G10, 12, 2240, 3348, 2, 1, 2236, 2244, 1, 1, 20, 17, 4435, 3328, 4466, 17, 4469, 3328, 4416, 3312, 0
0x80000218, Canon EOS 5D Mark II, 14, 1448, 3804, 4, 2, 1936, 1920, 1, 1, 168, 56, 5783, 3799, 0, 0, 0, 0, 5616, 3744, 1
0x02460000, Canon PowerShot SX1 IS, 12, 2076, 2772, 2, 1, 2168, 1984, 1, 1, 344, 24, 3991, 2759, 168, 312, 171, 2471, 3648, 2736, 0
0x80000252, Canon EOS Kiss X3, 14, 1208, 3204, 4, 2, 1616, 1600, 1, 1, 72, 31, 4823, 3198, 0, 0, 0, 0, 4752, 3168, 1
0x02700000, Canon PowerShot G11, 12, 1872, 2784, 2, 1, 1848, 1896, 1, 1, 24, 28, 3671, 2763, 3732, 28, 3735, 2763, 3648, 2736, 0
0x02720000, Canon PowerShot S90, 12, 1872, 2784, 2, 1, 1848, 1896, 1, 1, 24, 28, 3671, 2763, 3732, 28, 3735, 2763, 3648, 2736, 0
0x80000250, Canon EOS 7D, 14, 1340, 3516, 4, 2, 1728, 1904, 1, 1, 168, 56, 5351, 3511, 0, 0, 0, 0, 5184, 3456, 1
0x80000281, Canon EOS-1D Mark IV, 14, 1280, 3318, 4, 2, 1728, 1664, 1, 1, 152, 50, 5047, 3313, 0, 0, 0, 0, 4896, 3264, 1
0x80000270, Canon EOS 550D, 14, 1336, 3516, 4, 2, 1728, 1888, 1, 1, 152, 56, 5335, 3511, 0, 0, 0, 0, 5184, 3456, 1
0x02950000, Canon PowerShot S95, 12, 1872, 2784, 2, 1, 1848, 1896, 1, 1, 72, 24, 3719, 2759, 40, 24, 43, 2759, 3648, 2736, 0
0x80000287, Canon EOS 60D, 14, 1336, 3516, 4, 2, 1728, 1888, 1, 1, 152, 56, 5335, 3511, 0, 0, 0, 0, 5184, 3456, 1
0x02920000, Canon PowerShot G12, 12, 1872, 2784, 2, 1, 1848, 1896, 1, 1, 72, 24, 3719, 2759, 40, 24, 43, 2759, 3648, 2736, 0
0x80000286, Canon EOS REBEL T3i, 14, 1336, 3516, 4, 2, 1728, 1888, 1, 1, 152, 56, 5335, 3511, 0, 0, 0, 0, 5184, 3456, 1
0x80000288, Canon EOS REBEL T3, 14, 1088, 2874, 4, 2, 1440, 1472, 1, 1, 72, 23, 4343, 2870, 0, 0, 0, 0, 4272, 2848, 1
0x03110000, Canon PowerShot S100, 12, 2080, 3124, 2, 1, 2128, 2032, 1, 1, 128, 35, 4127, 3034, 128, 2, 4127, 7, 4000, 3000, 0
0x80000269, Canon EOS-1D X, 14, 2672, 3584, 2, 1, 2672, 2672, 1, 1, 144, 114, 5327, 3569, 0, 0, 0, 0, 5184, 3456, 0
0x03080000, Canon PowerShot G1 X, 14, 2248, 3366, 2, 0, 0, 4496, 1, 1, 108, 76, 4459, 3339, 80, 3, 959, 5, 4352, 3264, 0
0x80000285, Canon EOS 5D Mark III, 14, 2960, 3950, 2, 1, 2960, 2960, 1, 1, 140, 96, 5899, 3935, 0, 0, 0, 0, 5760, 3840, 0
0x80000301, Canon EOS REBEL T4i, 14, 2640, 3528, 2, 1, 2640, 2640, 1, 1, 84, 64, 5267, 3519, 0, 0, 0, 0, 5184, 3456, 0
0x80000331, Canon EOS M, 14, 2640, 3528, 2, 1, 2640, 2640, 1, 1, 84, 64, 5267, 3519, 0, 0, 0, 0, 5184, 3456, 0
0x03360000, Canon PowerShot S110, 12, 2080, 3124, 2, 1, 2128, 2032, 1, 1, 128, 35, 4127, 3034, 128, 2, 4127, 7, 4000, 3000, 0
0x03330000, Canon PowerShot G15, 12, 2080, 3124, 2, 1, 2128, 2032, 1, 1, 128, 35, 4127, 3034, 128, 2, 4127, 7, 4000, 3000, 0
0x03340000, Canon PowerShot SX50 HS, 12, 2088, 3062, 2, 0, 0, 4176, 1, 1, 132, 40, 4131, 3039, 120, 2, 4143, 15, 4000, 3000, 0
0x80000302, Canon EOS 6D, 14, 2784, 3708, 2, 1, 2784, 2784, 1, 1, 84, 50, 5555, 3697, 0, 0, 0, 0, 5472, 3648, 0
0x80000326, Canon EOS REBEL T5i, 14, 2640, 3528, 2, 1, 2640, 2640, 1, 1, 84, 64, 5267, 3519, 0, 0, 0, 0, 5184, 3456, 0
0x80000346, Canon EOS Kiss X7, 14, 2640, 3528, 2, 1, 2640, 2640, 1, 1, 84, 64, 5267, 3519, 0, 0, 0, 0, 5184, 3456, 0
0x80000325, Canon EOS 70D, 14, 2784, 3708, 2, 1, 2784, 2784, 1, 1, 84, 50, 5555, 3697, 0, 0, 0, 0, 5472, 3648, 0
0x03540000, Canon PowerShot G16, 12, 2096, 3062, 2, 0, 0, 4192, 1, 1, 132, 40, 4131, 3039, 120, 2, 4143, 15, 4000, 3000, 0
0x03550000, Canon PowerShot S120, 12, 2096, 3062, 2, 0, 0, 4192, 1, 1, 132, 40, 4131, 3039, 120, 2, 4143, 15, 4000, 3000, 0
0x80000355, Canon EOS M2, 14, 2640, 3528, 2, 1, 2640, 2640, 1, 1, 84, 64, 5267, 3519, 0, 0, 0, 0, 5184, 3456, 0
0x80000327, Canon EOS 1200D, 14, 1336, 3516, 4, 2, 1728, 1888, 1, 1, 152, 56, 5335, 3511, 0, 0, 0, 0, 5184, 3456, 1
0x03640000, Canon PowerShot G1 X Mark II, 14, 2240, 3366, 2, 0, 0, 4480, 1, 1, 204, 148, 4363, 3267, 272, 3, 4303, 4, 4160, 3120, 0
0x80000289, Canon EOS 7D Mark II, 14, 2784, 3708, 2, 1, 2784, 2784, 1, 1, 84, 50, 5555, 3697, 0, 0, 0, 0, 5472, 3648, 0
0x03780000, Canon PowerShot G7 X, 12, 2816, 3710, 2, 0, 0, 5632, 1, 1, 132, 40, 5603, 3687, 0, 0, 0, 0, 5472, 3648, 0
0x03750000, Canon PowerShot SX60 HS, 12, 2384, 3516, 2, 0, 0, 4768, 1, 1, 124, 38, 4731, 3493, 112, 0, 4743, 15, 4608, 3456, 0
